"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Threshold 5 * 8","Bike","","1.46666666666667","","2025-01-15","","48108.51171875","189","392","1050.684","","1.53777778148651","8.6899995803833","","83","","142","169","","","0.847099084272824","109.69","51","26","16","0","0","0","0","","","","45","4","4","27","12","2","","","","","4","5"
"7 * 1k "" Threshold Pace '2min","Run","","1.04666666666667","13599","2025-01-16","","11399.3203125","0","0","","","1.06916666030884","2.96099996566772","","160","","144","175","","","0.697792630355013","58.11","38","9","18","0","0","0","0","","","","","","","","","","","","","","",""
"Easy Maria Pace Partner - High cadence Focus","Bike","","1.16666666666667","","2025-01-16","","41641.25","163","324","691.544","","1.17384254932404","9.85299968719482","","86","","130","145","","","0.643884164749045","48.32","71","0","0","0","0","0","0","","","","23","42","6","0","0","0","","","","","3","7"
"Endurance","Swim","","","1300","2025-01-17","","1300","","","","","0.361839720937941","0.99160945842868","","55","","","","","","0.988006510377878","34.9","","","","","","","","","","","","","","","","","","","","","",""
"Upper Body","Strength","","0.5","","2025-01-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy - Maria Pace Partner - LC Focus","Bike","","1.16666666666667","","2025-01-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long Run","Run","or 155-165bpm","1.15666666666667","14000","2025-01-18","","14023.9599609375","","","","","1.25278913974762","3.10899996757507","","165","","155","168","","","0.724545093312331","73.3","15","59","1","0","0","0","0","","","","","","","","","","","","","","",""
"Long Ride","Bike","","3","","2025-01-19","","59090.30859375","137","530","1378.407","","2.80194444444444","5.85806568789035","","75","","126","151","","","0.638165878173177","113.82","165","3","0","0","0","0","0","","","","83","45","28","9","3","2","","","","","",""
"Technique","Swim","","","1200","2025-01-20","","1200","","","","","0.340954445203145","0.969305331179321","","55","","","","","","0.967871235124626","30.91","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","0.5","","2025-01-20","","0","","","","","0.521600842475891","0","","","","121","151","","","0.603481899118989","20.71","","","","","","","","","","","","","","","","","","","","","",""
"Really Easy - Miguel Pace Partner","Bike","","1","","2025-01-20","","29124.5703125","127","234","465.214","","1.01083338260651","8.00300025939941","","78","","115","129","","","0.515954663991547","26.66","61","0","0","0","0","0","0","","","","55","6","0","0","0","0","","","","","",""
"30 min Threshold","Run","","0.841666666666667","11732","2025-01-21","","8068.10986328125","","","","","0.757102251052856","2.96000003814697","","157","","151","174","","","0.681694443563589","38.71","19","15","12","0","0","0","0","","","","","","","","","","","","","","4","9"
"Easy Maria Pace Partner - High cadence Focus @79.5kg","Bike","5* 3min @ 100-110rpm","1.16666666666667","","2025-01-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Threshold /v02","Swim","","","1400","2025-01-22","","1400","","","","","0.39763750023312","0.977998525443142","","54","","","","","","0.985508156977795","38.06","","","","","","","","","","","","","","","","","","","","","",""
"Easy - Maria Pace Partner - LC Focus @79.5kg","Bike","5 * 4min 50-60rpm","1.25","","2025-01-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5 * 1M "" Threshold Pace '3min","Run","","1.13055555555556","12947","2025-01-23","","12528.4501953125","0","0","","","1.13166666030884","3.07500004768372","","158","","151","185","","","0.731408969518791","68.81","33","10","9","18","0","0","0","","","","","","","","","","","","","","6","5"
"Endurance","Swim","","","1300","2025-01-24","","1300","","","","","0.358703889052073","1.00671088921115","","55","","","","","","0.977477553774444","33.5","","","","","","","","","","","","","","","","","","","","","",""
"Upper Body","Strength","","0.5","","2025-01-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Threshold 6 * 8","Bike","","1.68333333333333","","2025-01-24","","42485.1015625","194","402","1223.206","","1.70000004768372","6.94199991226196","","85","","142","168","","","0.85735359631363","124.33","62","29","18","0","0","0","0","","","","52","4","5","32","14","2","","","","","",""
